,year,word,tf,n,idf,tf_idf
572,1930,schack-eyber,0.00022514916131937407,16,2.3978952727983707,0.0005398841096022448
233,1930,1929-30,0.0005206574355510526,37,0.7884573603642703,0.0004105161872886131
225,1930,holst-knudsen,0.0005347292581335134,38,0.6061358035703155,0.00032411854857131584
301,1930,j._perregaard,0.00040808285489136553,29,0.7884573603642703,0.0003217559305775616
726,1930,børnemælk,0.00016886187098953058,12,1.7047480922384253,0.00028786695242121336
471,1930,bankdirektør,0.0002673646290667567,19,1.0116009116784799,0.0002704663025145097
983,1930,koncessionshaverne,0.00012664640324214793,9,1.7047480922384253,0.00021590021431591
1389,1930,gasforsynings-selskab,8.443093549476529e-05,6,2.3978952727983707,0.00020245654110084184
57,1930,1930,0.0020404142744568274,145,0.09531017980432493,0.00019447225137379142
1063,1930,bivogne,0.00011257458065968704,8,1.7047480922384253,0.0001919113016141422
1138,1930,privatbankens,0.00011257458065968704,8,1.7047480922384253,0.0001919113016141422
671,1930,30-,0.00018293369357199146,13,1.0116009116784799,0.00018505589119413823
747,1930,kioskerne,0.00016886187098953058,12,1.0116009116784799,0.00017082082264074298
1758,1930,skibsafgifterne,7.03591129123044e-05,5,2.3978952727983707,0.00016871378425070154
1201,1930,børnemælksforsyningen,9.850275807722617e-05,7,1.7047480922384253,0.00016792238891237446
10061,1931,hjemløse,0.00016505233896538243,19,2.3978952727983707,0.00039577822336940485
9588,1931,j._perregaard,0.00046040915606133,53,0.7884573603642703,0.0003630129878756576
10192,1931,etg,0.00013899144333926941,16,2.3978952727983707,0.0003332869249426567
9579,1931,holst-knudsen,0.00046909612127003433,54,0.6061358035703155,0.00028433595441773043
10117,1931,tarnac,0.0001563653737566781,18,1.7047480922384253,0.00026656357260384535
9722,1931,1930-31,0.0003127307475133562,36,0.7884573603642703,0.00024657485968912593
10749,1931,fornyelsesfondet,7.818268687833906e-05,9,2.3978952727983707,0.00018747389528024443
10848,1931,504,6.949572166963471e-05,8,2.3978952727983707,0.00016664346247132836
10873,1931,bitch,6.949572166963471e-05,8,2.3978952727983707,0.00016664346247132836
10986,1931,svagbørnskolonier,6.949572166963471e-05,8,2.3978952727983707,0.00016664346247132836
10081,1931,50-,0.0001563653737566781,18,1.0116009116784799,0.00015817935464720184
9587,1931,hjælpekassen,0.00046040915606133,53,0.3184537311185346,0.0001466190135888662
9488,1931,leonhard,0.0007297050775311645,84,0.20067069546215124,0.00014643042539044178
11154,1931,raatjære,6.080875646093037e-05,7,2.3978952727983707,0.00014581302966241232
9884,1931,hjælpekassens,0.00022586109542631282,26,0.6061358035703155,0.00013690249657149982
22349,1932,j._perregaard,0.0004970760233918128,51,0.7884573603642703,0.00039192324930387704
22220,1932,hjælpekassen,0.001003898635477583,103,0.3184537311185346,0.00031969526613264196
22356,1932,holst-knudsen,0.0004873294346978557,50,0.6061358035703155,0.0002953878185040524
22869,1932,krisehjælp,0.00016569200779727097,17,1.2992829841302609,0.00021528080633737267
22464,1932,hjælpekassens,0.0003508771929824561,36,0.6061358035703155,0.0002126792293229177
22586,1932,1931-32,0.0002631578947368421,27,0.7884573603642703,0.00020748877904322902
23109,1932,"400.000,00",0.00011695906432748539,12,1.7047480922384253,0.00019938574178227198
